repository,tag_name,name,published_at,created_at,author,is_working_day
seed-design,@seed-design/figma@0.0.30,@seed-design/figma@0.0.30,2025-06-02T10:01:55Z,2025-06-02T10:01:42Z,github-actions[bot],true
seed-design,@seed-design/css@0.0.30,@seed-design/css@0.0.30,2025-06-02T10:02:04Z,2025-06-02T10:01:42Z,github-actions[bot],true
seed-design,@seed-design/webpack-plugin@0.0.29,@seed-design/webpack-plugin@0.0.29,2025-05-30T12:58:30Z,2025-05-30T12:57:26Z,github-actions[bot],true
seed-design,@seed-design/vite-plugin@0.0.29,@seed-design/vite-plugin@0.0.29,2025-05-30T12:58:21Z,2025-05-30T12:57:26Z,github-actions[bot],true
seed-design,@seed-design/stackflow@0.0.29,@seed-design/stackflow@0.0.29,2025-05-30T12:58:03Z,2025-05-30T12:57:26Z,github-actions[bot],true
seed-design,@seed-design/rsbuild-plugin@0.0.29,@seed-design/rsbuild-plugin@0.0.29,2025-05-30T12:58:27Z,2025-05-30T12:57:26Z,github-actions[bot],true
seed-design,@seed-design/react@0.0.29,@seed-design/react@0.0.29,2025-05-30T12:57:36Z,2025-05-30T12:57:26Z,github-actions[bot],true
seed-design,@seed-design/react-toggle@0.0.4,@seed-design/react-toggle@0.0.4,2025-05-30T12:58:09Z,2025-05-30T12:57:26Z,github-actions[bot],true
seed-design,@seed-design/react-text-field@0.0.4,@seed-design/react-text-field@0.0.4,2025-05-30T12:58:15Z,2025-05-30T12:57:26Z,github-actions[bot],true
seed-design,@seed-design/react-tabs@0.0.6,@seed-design/react-tabs@0.0.6,2025-05-30T12:58:18Z,2025-05-30T12:57:26Z,github-actions[bot],true
seed-design,@seed-design/react-switch@0.0.4,@seed-design/react-switch@0.0.4,2025-05-30T12:58:06Z,2025-05-30T12:57:26Z,github-actions[bot],true
seed-design,@seed-design/react-snackbar@0.0.5,@seed-design/react-snackbar@0.0.5,2025-05-30T12:57:51Z,2025-05-30T12:57:26Z,github-actions[bot],true
seed-design,@seed-design/react-segmented-control@0.0.5,@seed-design/react-segmented-control@0.0.5,2025-05-30T12:57:42Z,2025-05-30T12:57:26Z,github-actions[bot],true
seed-design,@seed-design/react-radio-group@0.0.4,@seed-design/react-radio-group@0.0.4,2025-05-30T12:58:24Z,2025-05-30T12:57:26Z,github-actions[bot],true
seed-design,@seed-design/react-pull-to-refresh@0.0.5,@seed-design/react-pull-to-refresh@0.0.5,2025-05-30T12:58:12Z,2025-05-30T12:57:26Z,github-actions[bot],true
seed-design,@seed-design/react-progress@0.0.4,@seed-design/react-progress@0.0.4,2025-05-30T12:57:57Z,2025-05-30T12:57:26Z,github-actions[bot],true
seed-design,@seed-design/react-primitive@0.0.3,@seed-design/react-primitive@0.0.3,2025-05-30T12:57:45Z,2025-05-30T12:57:26Z,github-actions[bot],true
seed-design,@seed-design/react-popover@0.0.7,@seed-design/react-popover@0.0.7,2025-05-30T12:57:48Z,2025-05-30T12:57:26Z,github-actions[bot],true
seed-design,@seed-design/react-dialog@0.0.5,@seed-design/react-dialog@0.0.5,2025-05-30T12:57:39Z,2025-05-30T12:57:26Z,github-actions[bot],true
seed-design,@seed-design/react-checkbox@0.0.4,@seed-design/react-checkbox@0.0.4,2025-05-30T12:57:33Z,2025-05-30T12:57:26Z,github-actions[bot],true
seed-design,@seed-design/react-avatar@0.0.4,@seed-design/react-avatar@0.0.4,2025-05-30T12:57:28Z,2025-05-30T12:57:26Z,github-actions[bot],true
seed-design,@seed-design/mcp@0.0.29,@seed-design/mcp@0.0.29,2025-05-30T12:57:54Z,2025-05-30T12:57:26Z,github-actions[bot],true
